7.X PID	titleInfo[not(@type)]	titleInfo[@type='translated'] [[@xml:lang]]	titleInfo[@type='alternative' or @type='abbreviated' or @type='uniform']	personal name/namePart[not(@type)] or name/displayForm [[role]]	personal name/namePart[@type] [[role]]	corporate name/namePart[not(@type)] or name/displayForm [[role]]	corporate name/namePart[@type] [[role]]	conference name/namePart[not(@type)] or name/displayForm [[role]]	conference name/namePart[@type] [[role]]	family name/namePart[not(@type)] or name/displayForm [[role]]	family name/namePart[@type] [[role]]	untyped name/namePart[not(@type)] or name/displayForm [[role]]	untyped name/namePart[@type] [[role]]	identifier	accessCondition	originInfo/dateOther	originInfo/dateIssued	originInfo/dateCreated	physicalDescription/extent	typeOfResource	physicalDescription/internetMediaType
	Ômi Province: Lake Biwa, Ishiyama Temple from the series Famous Places in the Sixty-odd Provinces, woodblock print, ink and color on paper			Andō, Hiroshige, 1797-1858 [[marcrelators=cre/creator]]	Andō [[type=family]]. Hiroshige [[type=given]]. 1797-1858 [[type=date]] [[marcrelators=cre/creator]]										These materials are made available for use in research, teaching and private study, pursuant to U.S. Copyright Law. The user must assume full responsibility for any use of the materials, including but not limited to, infringement of copyright and publication rights of reproduced materials. Any materials used for academic research or otherwise should be fully credited with the source. The original artists may retain copyright to the materials.			circa 1853||1848||1858	1 file	still image	
	 Rapid thinning of the Laurentide Ice Sheet in coastal Maine, USA during late Heinrich Stadial 1: 			Koester, Alexandria Jo [[marcrelators=aut/Author]]||Shakun, Jeremy D. [[marcrelators=ths/Thesis advisor]]	Koester [[type=family]]. Alexandria Jo [[type=given]] [[marcrelators=aut/Author]]||Shakun [[type=family]]. Jeremy D. [[type=given]] [[marcrelators=ths/Thesis advisor]]									http://hdl.handle.net/2345/bc-ir:107308	Copyright is held by the author, with all rights reserved, unless otherwise noted.		2017||2017			text	application/pdf
	De symmetria partium in rectis formis humanorum: 		. Book 1-2. Latin.	Albrecht Dürer [[marcrelators=NULL/creator]]||Joachim Camerarius (1500-1574) [[marcrelators=NULL/Translator]]||Helius Eobanus Hessus (1488-1540) [[marcrelators=NULL/Contributor]]||Edward Clark Streeter (-1947) [[marcrelators=NULL/Former owner]]													1532		31 cm.	text	
	MSC130-2256-01													fa40ca69-70ee-42bc-bd00-b7cbc20a240f||http://content.lib.sfu.ca/cdm/ref/collection/bcp/id/7926	Images from the British Columbia Postcards Collection have been made available by Simon Fraser University Library under a Creative Commons attribution, non-commercial license at http://creativecommons.org/licenses/by-nc/3.0/. A full legal outline of the license can be viewed at: http://creativecommons.org/licenses/by-nc/3.0/legalcode <BR><BR>We encourage the appropriate open use of images from this collection for educational and other not-for-profit purposes. Attribution/citation should be provided as follows: Image [insert image number here, eg. MSC130-2144-01] courtesy of the British Columbia Postcards Collection, a digital initiative of Simon Fraser University Library. [Please include the website url when images are used in an offline or print-based context]. <BR><BR>Parties interested in using high-resolution versions of the images from the British Columbia Postcards Collection for commercial purposes should contact Special Collections and Rare Books, SFU Library.					still image	
	Bill Miner, Train Robber, 1906													MSC130-2256||5fe693e4-1c81-47cf-aa17-b9cebdbcdadd||http://content.lib.sfu.ca/cdm/ref/collection/bcp/id/7928	Images from the British Columbia Postcards Collection have been made available by Simon Fraser University Library under a Creative Commons attribution, non-commercial license at http://creativecommons.org/licenses/by-nc/3.0/. A full legal outline of the license can be viewed at: http://creativecommons.org/licenses/by-nc/3.0/legalcode <BR><BR>We encourage the appropriate open use of images from this collection for educational and other not-for-profit purposes. Attribution/citation should be provided as follows: Image [insert image number here, eg. MSC130-2144-01] courtesy of the British Columbia Postcards Collection, a digital initiative of Simon Fraser University Library. [Please include the website url when images are used in an offline or print-based context]. <BR><BR>Parties interested in using high-resolution versions of the images from the British Columbia Postcards Collection for commercial purposes should contact Special Collections and Rare Books, SFU Library.		1906		1 postcard : b&w ; 9 x 14 cm.	still image	
	Evaluation of transmission infrared spectroscopy and digital and optical refractometers to identify low immunoglobulin G concentrations in alpaca serum.				Elsohaby [[type=family]]. Ibrahim [[type=given]] [[marcrelators=NULL/author]]||Burns [[type=family]]. Jennifer J [[type=given]] [[marcrelators=NULL/author]]||Riley [[type=family]]. Christopher B [[type=given]] [[marcrelators=NULL/author]]||McClure [[type=family]]. J Trenton [[type=given]] [[marcrelators=NULL/author]]									1928-9022||PMC5508383||28725112||jmcclure||Health Management||28725112||PMC5508383			2017-07			text	
	Maisie Adams T1 [Tape One]											Thompson, Reg "Dutch" [[marcrelators=ctb/Contributor]]||Adams (Lamont), Maisie [[marcrelators=ctb/Contributor]]		ivoices:ivoices20100622acass002	All content on this site is made available for personal research and private study only. Any other reuse, reproduction, or re-purposing may require the permission of the rightsholder(s); please contact the UPEI Library for more information on permissions/clearances.	1997-04-11				sound recording-nonmusical	
	The Charlottetown Guardian													guardian:19170728			1917-07-28T00:00:00.000Z				
	Page 2													guardian:19170728-002							
	The Guardian				B.D. [[type=given]]. Higgs [[type=family]] [[marcrelators=NULL/Editor Managing Director]]||M.J. [[type=given]]. MacDonald [[type=family]] [[marcrelators=NULL/Editor]]||J.E.B. [[type=given]]. McCready [[type=family]] [[marcrelators=NULL/Editor]]||D.K. [[type=given]]. Currie [[type=family]] [[marcrelators=NULL/Editor]]||J.R. [[type=given]]. Burnett [[type=family]] [[marcrelators=NULL/Editor Managing Director]]||Frank [[type=given]]. Walker [[type=family]] [[marcrelators=NULL/Associate Editor Editor]]||Burton [[type=given]]. Lewis [[type=family]] [[marcrelators=NULL/Executive Editor]]||Ian A. [[type=given]]. Burnett [[type=family]] [[marcrelators=NULL/Associate Editor Editor Managing Director General Manager Publisher President]]||Wallace [[type=given]]. Ward [[type=family]] [[marcrelators=NULL/Managing Editor]]||Walter [[type=given]]. MacIntyre [[type=family]] [[marcrelators=NULL/Managing Editor]]||J.P. [[type=given]]. Hood [[type=family]] [[marcrelators=NULL/Business Manager Managing Director President]]||W.J. [[type=given]]. Hancox [[type=family]] [[marcrelators=NULL/Publisher]]||Stewart S. [[type=given]]. Vickerson [[type=family]] [[marcrelators=NULL/Publisher]]||A.A. [[type=given]]. Bartlett [[type=family]] [[marcrelators=NULL/President]]||Sir Charles [[type=given]]. Dalton [[type=family]] [[marcrelators=NULL/President]]||W. Chester S. [[type=given]]. McLure [[type=family]] [[marcrelators=NULL/President]]||Gary [[type=given]]. MacDougall [[type=family]] [[marcrelators=NULL/Managing Editor]]									0832-2708			1890-12-17T00:00:00.000Z||1890-12-17T00:00:00.000Z			text	
